City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,dingwall,57.5953,-4.4272,7.99,85,93,2.09,GB,1718063606
345,mitu,1.1983,-70.1733,23.81,93,81,0.17,CO,1718063606
346,at taj,24.2049,23.2857,27.89,16,0,3.54,LY,1718063606
347,jijiga,9.35,42.8,17.54,81,80,4.95,ET,1718063606
348,harper,4.375,-7.7169,25.77,84,88,4.11,LR,1718063606
349,mponela,-13.5319,33.7401,12.17,80,95,3.13,MW,1718063606
350,mount gambier,-37.8333,140.7667,13.76,86,100,5.49,AU,1718063606
351,aykhal,66.0,111.5,18.91,40,86,5.38,RU,1718063456
352,uaua,-9.8414,-39.4817,21.62,82,17,6.47,BR,1718063606
353,zambezi,-13.5432,23.1047,13.01,52,4,3.79,ZM,1718063606
354,xianning,29.8833,114.2167,24.78,86,67,0.81,CN,1718063606
355,aswan,24.0934,32.907,30.61,17,0,3.09,EG,1718063320
356,cueto,20.6439,-75.9356,31.29,80,80,2.26,CU,1718063606
357,college,64.8569,-147.8028,21.99,55,75,2.06,US,1718063606
358,solnechnyy,50.7214,136.6319,6.13,85,100,3.62,RU,1718063606
359,shakhovskaya,56.0283,35.5097,15.86,99,57,4.04,RU,1718063606
360,petrove,48.3247,33.2562,18.56,69,67,4.93,UA,1718063606
361,biltine,14.5333,20.9167,31.16,34,87,3.96,TD,1718063606
362,sarzeau,47.5333,-2.7667,12.93,80,55,5.22,FR,1718063606
363,farrukhnagar,17.0778,78.2011,23.84,93,100,6.58,IN,1718063607
364,anadyr,64.75,177.4833,8.28,70,0,4.0,RU,1718063607
